FIS TARIHI,ALACAK,ExpectedValue,ExpectedLow,ExpectedHigh,RawScore,Anomaly,BatchStart,BatchEnd
2019-06-15 00:00:00,126284.98000000001,194716.2571029509,'-454525.48441129527,843957.9986171972,0,0,,
2019-06-16 00:00:00,72751,141182.2771029509,'-508059.4644112953,790424.0186171972,0,0,,
2019-06-17 00:00:00,1935463.3,1867214.7314061401,1219706.4368718942,2514723.025940386,0,0,,
2019-06-18 00:00:00,1465542.820000001,1533791.388593861,886283.0940596148,2181299.683128107,0,0,,
2019-06-19 00:00:00,11925143.46,11858797.581078868,11229341.054814622,12488254.107343115,0,0,,
2019-06-20 00:00:00,2463440.88,2529277.4385574963,1904653.0892432504,3153901.787871742,0,0,,
2019-06-21 00:00:00,3539130.0799999987,3475682.9263152294,2873728.055730983,4077637.7968994756,0,0,,
2019-06-22 00:00:00,29369.910000000003,92817.06368476909,'-509137.80689947715,694771.9342690153,0,0,,
2019-06-23 00:00:00,137,0,'-601954.8705842462,601954.8705842462,0.1923378169,0,,
2019-06-24 00:00:00,3758341.039999999,2377371.5316173113,1776192.1803230653,2978550.8829115573,0.4377499224,1,Tue Jan 01 2019 00:00:00 GMT+0300 (GMT+03:00),Tue Dec 31 2019 00:00:00 GMT+0300 (GMT+03:00)
2019-06-25 00:00:00,2261094.5999999996,2323741.5406665867,1729378.6910923403,2918104.390240833,0,0,,
2019-06-26 00:00:00,2221656.2100000004,2159934.520169777,1574349.987905531,2745519.0524340225,0,0,,
2019-06-27 00:00:00,3106095.3900000015,3167001.514448407,2589154.658744161,3744848.370152653,0,0,,
2019-06-28 00:00:00,8563425.590000002,8503800.067369778,7938102.921415532,9069497.213324023,0,0,,
2019-06-29 00:00:00,217104.71000000002,157479.18736977642,'-408217.9585844696,723176.3333240225,0,0,,
2019-06-30 00:00:00,196214084.4699998,9615963.327466054,9050266.181511808,10181660.4734203,0.8642174104,1,Tue Jan 01 2019 00:00:00 GMT+0300 (GMT+03:00),Tue Dec 31 2019 00:00:00 GMT+0300 (GMT+03:00)
2019-07-01 00:00:00,21621306.549999993,21564358.98838795,21024068.997593705,22104648.979182195,0,0,,
2019-07-02 00:00:00,3563877.2000000007,3613617.290848406,3141708.17892416,4085526.402772652,0,0,,
